"","ID","MonthlyIncome"
"1",871,5431.19830097613
"2",872,2712.10987599999
"3",873,15205.7167110867
"4",874,2712.10987599999
"5",875,2778.99353494871
"6",876,5832.50025466842
"7",877,5464.64013045049
"8",878,2611.78438757692
"9",879,2879.31902337178
"10",880,15372.9258584585
"11",881,10301.6424658145
"12",882,2778.99353494871
"13",883,5397.75647150177
"14",884,5364.31464202741
"15",885,5531.5237893992
"16",886,5330.87281255306
"17",887,5564.96561887356
"18",888,5431.19830097613
"19",889,5531.5237893992
"20",890,2745.55170547435
"21",891,5498.08195992484
"22",892,9666.24770580167
"23",893,9666.24770580167
"24",894,5397.75647150177
"25",895,10335.0842952888
"26",896,9766.57319422474
"27",897,9733.13136475038
"28",898,15105.3912226637
"29",899,5531.5237893992
"30",900,2745.55170547435
"31",901,2745.55170547435
"32",902,5564.96561887356
"33",903,5799.05842519406
"34",904,2812.43536442306
"35",905,15272.6003700355
"36",906,5330.87281255306
"37",907,10067.549659494
"38",908,5464.64013045049
"39",909,2611.78438757692
"40",910,2578.34255810256
"41",911,19181.4928112083
"42",912,2778.99353494871
"43",913,2778.99353494871
"44",914,9833.45685317345
"45",915,5464.64013045049
"46",916,5364.31464202741
"47",917,2645.22621705128
"48",918,5364.31464202741
"49",919,2578.34255810256
"50",920,2946.2026823205
"51",921,2678.66804652563
"52",922,2578.34255810256
"53",923,5498.08195992484
"54",924,5531.5237893992
"55",925,15607.018664779
"56",926,2879.31902337178
"57",927,5531.5237893992
"58",928,10034.1078300196
"59",929,2578.34255810256
"60",930,2812.43536442306
"61",931,5698.73293677099
"62",932,9699.68953527602
"63",933,9699.68953527602
"64",934,2645.22621705128
"65",935,2578.34255810256
"66",936,2678.66804652563
"67",937,9933.78234159653
"68",938,9967.22417107089
"69",939,5799.05842519406
"70",940,2578.34255810256
"71",941,3046.52817074357
"72",942,9733.13136475038
"73",943,10301.6424658145
"74",944,5330.87281255306
"75",945,2544.9007286282
"76",946,5397.75647150177
"77",947,2578.34255810256
"78",948,2645.22621705128
"79",949,2812.43536442306
"80",950,5464.64013045049
"81",951,2879.31902337178
"82",952,5464.64013045049
"83",953,5464.64013045049
"84",954,2745.55170547435
"85",955,5498.08195992484
"86",956,9666.24770580167
"87",957,10602.6189310837
"88",958,2879.31902337178
"89",959,10067.549659494
"90",960,19683.1202533237
"91",961,2745.55170547435
"92",962,5498.08195992484
"93",963,5631.84927782228
"94",964,5598.40744834792
"95",965,2611.78438757692
"96",966,19315.2601291058
"97",967,2712.10987599999
"98",968,9699.68953527602
"99",969,15473.2513468816
"100",970,2712.10987599999
"101",971,5431.19830097613
"102",972,5531.5237893992
"103",973,2712.10987599999
"104",974,2578.34255810256
"105",975,5364.31464202741
"106",976,2678.66804652563
"107",977,5832.50025466842
"108",978,2745.55170547435
"109",979,9933.78234159653
"110",980,19114.6091522596
"111",981,2745.55170547435
"112",982,9866.89868264781
"113",983,2745.55170547435
"114",984,2712.10987599999
"115",985,5464.64013045049
"116",986,2812.43536442306
"117",987,2578.34255810256
"118",988,5431.19830097613
"119",989,10067.549659494
"120",990,2645.22621705128
"121",991,5631.84927782228
"122",992,2712.10987599999
"123",993,5598.40744834792
"124",994,5364.31464202741
"125",995,5397.75647150177
"126",996,5732.17476624535
"127",997,2645.22621705128
"128",998,15372.9258584585
"129",999,9766.57319422474
"130",1000,2578.34255810256
"131",1001,5732.17476624535
"132",1002,5364.31464202741
"133",1003,5531.5237893992
"134",1004,5865.94208414278
"135",1005,2879.31902337178
"136",1006,5498.08195992484
"137",1007,2611.78438757692
"138",1008,5531.5237893992
"139",1009,19214.9346406827
"140",1010,5631.84927782228
"141",1011,9933.78234159653
"142",1012,5598.40744834792
"143",1013,5631.84927782228
"144",1014,5564.96561887356
"145",1015,5498.08195992484
"146",1016,2812.43536442306
"147",1017,2879.31902337178
"148",1018,9699.68953527602
"149",1019,9766.57319422474
"150",1020,2544.9007286282
"151",1021,5498.08195992484
"152",1022,5431.19830097613
"153",1023,5431.19830097613
"154",1024,10201.3169773914
"155",1025,15105.3912226637
"156",1026,19047.7254933109
"157",1027,5498.08195992484
"158",1028,5364.31464202741
